PIV MEASUREMENT - Optoelectronics group LDCS version 1.1.0
Tom_0.75_2,06/12/2023,09:34:45

SOURCE_INST,SOURCE_PG_GPIO_SN,SOURCE_PG_ID,SOURCE_PG_CALIB_CONSTANT,SOURCE_PG_CALIB_DATE,SOURCE_TYPE,SOURCE_PG_OSC_INST,SOURCE_PG_OSC_SN,SOURCE_PG_OSC_AVE,SOURCE_PG_OSC_SCAL,SOURCE_PG_OSC_RANG_V,SOURCE_PG_OSC_PROB_V,SOURCE_PG_OSC_UNIT_V,SOURCE_PG_OSC_RANG_I,SOURCE_PG_OSC_PROB_I,SOURCE_PG_OSC_UNIT_I,SOURCE_PG_FREQ,SOURCE_PG_OSC_AUTO,SOURCE_PG_RES,SOURCE_PG_MAX_I,SOURCE_PG_MAX_V,SOURCE_PG_CALIB,SOURCE_PG_BG_V,SOURCE_PG_BG_I,POWER_INST,POWER_INST_SN,POWER_DETECTOR,POWER_DETECTOR_SN,POWER_DETECTOR_CALIB,POWER_WL,POWER_AVE,POWER_MAX,POWER_TR,POWER_ITH,PIV_MEAS_TIME,PIV_MEAS_END
Pulse generator (digital type),100062623,Q-PG-DP,2.098,30/11/23,Pulsed,Keysight DSOX1204A Oscilloscope,CN62096236,64,+500.0E-09,+5.50E+00,+1.0000000E+00,VOLT,+1.10E+00,+2.0980000E+00,AMP,+4.95050E+03,Auto osc. on,3,1.000000,5.000000,2.098000,-0.020700,0.000290,PM100USB,1916809,S142C,221018320,18-OCT-2022,623.700000,100.000000,0.000050,TR det. off,Ith det. off,223.838,Maximum current


Current (A), Power (W), Voltage (V)
0.1364500000,0.0000000153,2.1357000000
0.1386800000,0.0000000149,2.1372000000
0.1403100000,0.0000000148,2.1402000000
0.1418400000,0.0000000155,2.1445000000
0.1441500000,0.0000000156,2.1465000000
0.1458200000,0.0000000161,2.1503000000
0.1474900000,0.0000000157,2.1515000000
0.1496400000,0.0000000168,2.1547000000
0.1509500000,0.0000000164,2.1567000000
0.1528700000,0.0000000167,2.1596000000
0.1544200000,0.0000000157,2.1629000000
0.1568300000,0.0000000171,2.1659000000
0.1585500000,0.0000000168,2.1690000000
0.1604400000,0.0000000184,2.1719000000
0.1620600000,0.0000000183,2.1740000000
0.1641100000,0.0000000188,2.1779000000
0.1658500000,0.0000000183,2.1802000000
0.1676800000,0.0000000199,2.1820000000
0.1696000000,0.0000000206,2.1861000000
0.1716900000,0.0000000188,2.1896000000
0.1736300000,0.0000000209,2.1929000000
0.1756200000,0.0000000201,2.1947000000
0.1774300000,0.0000000207,2.1980000000
0.1795700000,0.0000000202,2.2027000000
0.1813500000,0.0000000215,2.2039000000
0.1836200000,0.0000000217,2.2060000000
0.1856800000,0.0000000210,2.2098000000
0.1871900000,0.0000000202,2.2121000000
0.1893300000,0.0000000218,2.2157000000
0.1916900000,0.0000000225,2.2195000000
0.1937300000,0.0000000225,2.2209000000
0.1956300000,0.0000000233,2.2245000000
0.1976800000,0.0000000231,2.2277000000
0.1998900000,0.0000000228,2.2318000000
0.2017100000,0.0000000236,2.2337000000
0.2037400000,0.0000000245,2.2373000000
0.2057600000,0.0000000243,2.2396000000
0.2078100000,0.0000000248,2.2439000000
0.2099400000,0.0000000248,2.2458000000
0.2117900000,0.0000000266,2.2484000000
0.2137900000,0.0000000255,2.2514000000
0.2157400000,0.0000000266,2.2544000000
0.2178200000,0.0000000261,2.2578000000
0.2201100000,0.0000000256,2.2607000000
0.2216500000,0.0000000276,2.2634000000
0.2241200000,0.0000000277,2.2670000000
0.2260800000,0.0000000278,2.2689000000
0.2281300000,0.0000000287,2.2724000000
0.2306300000,0.0000000288,2.2759000000
0.2327400000,0.0000000276,2.2793000000
0.2349300000,0.0000000298,2.2811000000
0.2370000000,0.0000000295,2.2846000000
0.2390900000,0.0000000307,2.2879000000
0.2411900000,0.0000000314,2.2910000000
0.2430900000,0.0000000310,2.2929000000
0.2454400000,0.0000000317,2.2972000000
0.2477400000,0.0000000324,2.3003000000
0.2500000000,0.0000000306,2.3022000000
0.2524000000,0.0000000330,2.3062000000
0.2549400000,0.0000000321,2.3082000000
0.2565800000,0.0000000334,2.3116000000
0.2588600000,0.0000000349,2.3152000000
0.2611700000,0.0000000328,2.3185000000
0.2635300000,0.0000000350,2.3212000000
0.2658300000,0.0000000350,2.3245000000
0.2683800000,0.0000000348,2.3264000000
0.2709800000,0.0000000359,2.3291000000
0.2734600000,0.0000000371,2.3332000000
0.2756800000,0.0000000364,2.3355000000
0.2775400000,0.0000000368,2.3394000000
0.2802100000,0.0000000384,2.3425000000
0.2823500000,0.0000000381,2.3449000000
0.2845200000,0.0000000384,2.3495000000
0.2875400000,0.0000000392,2.3527000000
0.2892500000,0.0000000392,2.3551000000
0.2915500000,0.0000000397,2.3589000000
0.2937300000,0.0000000408,2.3616000000
0.2962000000,0.0000000421,2.3655000000
0.2984400000,0.0000000425,2.3683000000
0.3009100000,0.0000000424,2.3725000000
0.3034200000,0.0000000422,2.3761000000
0.3055500000,0.0000000427,2.3793000000
0.3078200000,0.0000000431,2.3815000000
0.3102900000,0.0000000444,2.3847000000
0.3123800000,0.0000000451,2.3883000000
0.3153500000,0.0000000457,2.3912000000
0.3174200000,0.0000000463,2.3943000000
0.3198900000,0.0000000466,2.3978000000
0.3223400000,0.0000000472,2.4006000000
0.3245700000,0.0000000480,2.4045000000
0.3267200000,0.0000000487,2.4062000000
0.3294500000,0.0000000488,2.4105000000
0.3320700000,0.0000000497,2.4137000000
0.3347100000,-0.0000000940,2.4167000000
0.3371800000,0.0000000499,2.4196000000
0.3396000000,0.0000000496,2.4231000000
0.3420200000,0.0000000523,2.4257000000
0.3445400000,0.0000000517,2.4294000000
0.3469200000,0.0000000531,2.4321000000
0.3492800000,0.0000000533,2.4356000000
0.3518500000,0.0000000529,2.4394000000
0.3543600000,0.0000000547,2.4423000000
0.3570100000,0.0000000560,2.4451000000
0.3593800000,0.0000000562,2.4489000000
0.3621400000,0.0000000580,2.4515000000
0.3647400000,0.0000000584,2.4541000000
0.3667500000,0.0000000587,2.4566000000
0.3691200000,0.0000000594,2.4610000000
0.3719200000,0.0000000598,2.4651000000
0.3747100000,0.0000000598,2.4680000000
0.3775000000,0.0000000622,2.4704000000
0.3799200000,0.0000000630,2.4737000000
0.3826200000,0.0000000624,2.4768000000
0.3847700000,0.0000000643,2.4814000000
0.3867900000,0.0000000646,2.4841000000
0.3892700000,0.0000000663,2.4885000000
0.3920000000,0.0000000657,2.4905000000
0.3949700000,0.0000000677,2.4954000000
0.3974900000,0.0000000693,2.4977000000
0.4000900000,0.0000000689,2.5020000000
0.4033000000,0.0000000714,2.5048000000
0.4057800000,0.0000000707,2.5093000000
0.4081000000,0.0000000707,2.5120000000
